Year,Tool_Name,Industry,Purpose,Region,Users_Count,Daily_Usage_Hours,Productivity_Gain_Percent,Satisfaction_Level
2021,GrammarlyGO,E-commerce,Data Analysis,North America,96901,3.74,42.1,1
2022,Beautiful.ai,Education,Presentations,Africa,77852,1.03,16.9,2
2024,Synthesia,Education,Presentations,South America,129376,0.4,63.3,3
2025,DALL-E,Finance,Design,Africa,105023,4.21,20.1,5
2023,Pictory,Healthcare,Design,South America,68097,1.73,37.9,4
2022,Gamma AI,Design,Content Writing,Oceania,68028,2.33,24.6,5
2022,Notion AI,Healthcare,Research,Europe,51615,1.67,28.9,2
2022,DeepL Write,Healthcare,Meeting Notes,South America,91427,2.44,52.8,5
2025,Codeium,E-commerce,Research,Asia,84025,3.08,10.6,3
2021,DALL-E,Finance,Content Writing,Europe,39257,3.16,17.7,3
2023,Adobe Firefly,Education,Research,South America,63980,3.52,33.1,2
2023,Writesonic,Software Development,Coding,North America,73249,0.87,36.2,1
2022,Durable AI,E-commerce,Content Writing,Africa,106676,1.77,37.6,4
2023,Tabnine,E-commerce,Content Writing,South America,45374,2.87,18.5,2
2021,Codeium,Software Development,Research,South America,104153,0.72,19.2,4
2024,Notion AI,Design,Design,South America,87141,0.51,26.5,2
2025,Copy.ai,Education,Meeting Notes,Asia,37644,4.2,28.3,5
2021,Writesonic,Healthcare,Meeting Notes,Asia,60404,1.62,38.9,1
2025,Copy.ai,Marketing,Data Analysis,Oceania,91722,0.65,64.3,5
2023,Pictory,Marketing,Design,North America,70447,3.93,19.3,1
2024,Pictory,Finance,Presentations,North America,112929,3.92,12.2,1
2022,Notion AI,Media,Design,Asia,109938,1.98,14.6,2
2023,Notion AI,Marketing,Content Writing,South America,91937,1.86,11.6,3
2021,Writesonic,Finance,Meeting Notes,Asia,111266,1.76,26.5,1
2025,Phind,Software Development,Content Writing,South America,106375,4.47,34.9,1
2022,Pictory,Finance,Coding,Oceania,122687,0.86,48.7,5
2025,Stable Diffusion,Media,Presentations,North America,92841,3.92,36.1,3
2024,GitHub Copilot,E-commerce,Presentations,Europe,128141,2.76,32.4,5
2024,Adobe Firefly,Marketing,Image Generation,South America,84611,1.78,37.0,2
2021,Stable Diffusion,Design,Coding,South America,73029,4.57,22.2,4
2023,GitHub Copilot,Education,Content Writing,Africa,126336,1.38,12.4,2
2021,GrammarlyGO,Media,Data Analysis,North America,66451,1.66,17.2,5
2022,DALL-E,E-commerce,Data Analysis,South America,109462,4.08,18.6,4
2021,Otter.ai,Healthcare,Research,North America,91862,4.5,38.7,5
2021,Cursor AI,Software Development,Presentations,Europe,60938,1.37,32.3,4
2022,Tome AI,Marketing,Presentations,Asia,72170,4.14,57.1,1
2022,Otter.ai,E-commerce,Content Writing,South America,82153,2.26,20.7,4
2024,Synthesia,E-commerce,Design,North America,74962,0.86,27.2,1
2024,Google Gemini,Software Development,Coding,South America,77161,2.74,48.1,1
2025,Codeium,Media,Image Generation,Africa,94121,2.01,63.4,2
2025,Replit Ghostwriter,Marketing,Coding,North America,24436,1.64,10.1,2
2024,Claude,Software Development,Image Generation,Europe,81204,3.16,36.7,3
2021,Claude,E-commerce,Presentations,South America,76229,0.98,35.9,4
2024,Codeium,Finance,Image Generation,North America,91046,4.93,21.8,2
2025,Fireflies.ai,Design,Design,Asia,116284,1.42,49.5,3
2023,DeepL Write,Media,Coding,Africa,104557,2.03,44.0,2
2024,Wordtune,Media,Image Generation,Oceania,99605,0.72,55.6,4
2024,DeepL Write,Finance,Presentations,Asia,147713,1.81,18.6,5
2021,QuillBot,E-commerce,Presentations,South America,84989,3.48,8.9,3
2025,Descript,Education,Image Generation,Africa,66895,2.71,20.9,3
2021,Fireflies.ai,E-commerce,Data Analysis,Asia,50130,3.55,30.0,3
2023,Otter.ai,Education,Content Writing,North America,96207,4.7,15.8,2
2022,Tome AI,Marketing,Design,Asia,58502,4.65,58.0,5
2025,Fireflies.ai,Software Development,Research,Asia,72338,1.51,45.6,2
2025,Writesonic,E-commerce,Content Writing,Europe,88823,2.79,21.8,4
2025,Descript,E-commerce,Data Analysis,Africa,121214,0.74,59.1,4
2024,Wordtune,Design,Meeting Notes,Asia,89796,1.89,27.9,2
2023,Canva Magic Write,Marketing,Coding,Africa,105454,3.71,59.1,4
2025,Writesonic,Marketing,Meeting Notes,South America,89514,3.32,12.8,5
2024,Copy.ai,Media,Data Analysis,South America,92393,1.06,59.2,3
2023,Cursor AI,Software Development,Image Generation,North America,90792,0.32,17.2,3
2021,Adobe Firefly,Finance,Presentations,Asia,60569,2.88,47.4,5
2024,Codeium,Finance,Data Analysis,Africa,46260,3.65,21.5,3
2023,Wordtune,Design,Coding,Oceania,101696,1.83,50.6,3
2025,Stable Diffusion,Marketing,Research,Europe,110901,3.39,40.4,2
2024,Synthesia,Education,Presentations,South America,94383,0.74,29.0,1
2022,Google Gemini,Marketing,Coding,South America,55314,4.87,30.4,5
2025,Durable AI,Education,Coding,Africa,57525,4.49,44.0,2
2025,Durable AI,Education,Image Generation,Africa,82390,3.01,36.1,4
2022,Perplexity AI,Marketing,Meeting Notes,South America,125606,1.22,49.2,2
2024,Beautiful.ai,Finance,Design,North America,49873,4.72,62.4,3
2023,Descript,Design,Research,Africa,96474,4.6,29.1,2
2025,Jasper AI,Software Development,Coding,Europe,96197,4.83,56.6,4
2021,GitHub Copilot,Education,Data Analysis,Oceania,79815,1.68,30.0,3
2025,Stable Diffusion,E-commerce,Presentations,North America,68604,1.1,39.7,2
2025,Runway ML,Marketing,Research,Asia,107691,4.7,47.7,3
2023,Replit Ghostwriter,Design,Coding,Asia,55484,3.19,64.4,4
2022,Codeium,Design,Design,Africa,86611,0.96,37.5,2
2023,ChatGPT,Software Development,Meeting Notes,South America,92733,3.58,48.0,4
2021,Codeium,Design,Content Writing,South America,98823,1.99,24.7,2
2021,Pictory,Marketing,Coding,Asia,97451,4.38,60.1,2
2021,Stable Diffusion,Marketing,Research,Asia,97413,2.7,36.6,2
2023,Wordtune,E-commerce,Content Writing,North America,99126,3.6,53.4,1
2021,Otter.ai,Marketing,Image Generation,South America,116066,4.48,27.3,4
2022,DALL-E,Design,Data Analysis,Europe,58815,3.02,10.0,5
2025,Runway ML,Marketing,Data Analysis,Europe,74895,2.49,38.9,4
2024,GitHub Copilot,Marketing,Data Analysis,Asia,102587,0.44,10.1,2
2024,Fireflies.ai,Media,Image Generation,North America,33618,4.17,28.5,1
2021,Jasper AI,Design,Research,Africa,83928,3.92,20.3,5
2021,Writesonic,Finance,Data Analysis,Europe,49667,3.23,12.9,1
2023,Runway ML,E-commerce,Coding,South America,83367,2.84,44.3,2
2024,Stable Diffusion,Healthcare,Image Generation,Europe,62451,3.71,63.6,1
2023,Otter.ai,Design,Design,North America,21245,4.04,23.4,5
2023,DeepL Write,Design,Coding,Oceania,87593,2.36,12.5,2
2025,Fireflies.ai,Design,Coding,Africa,97149,2.22,17.9,3
2022,Claude,Marketing,Content Writing,Africa,107972,1.04,22.3,5
2022,Jasper AI,Design,Design,North America,134963,3.4,24.0,3
2025,GrammarlyGO,Design,Content Writing,North America,94149,4.79,50.1,3
2024,Looka AI,Media,Content Writing,Oceania,145664,2.27,22.1,4
2024,Writesonic,Design,Data Analysis,Oceania,112973,1.97,51.2,2
2022,Pictory,Software Development,Design,North America,95314,2.53,13.6,5
2024,Beautiful.ai,Marketing,Meeting Notes,Oceania,105239,2.61,35.0,1
2022,DALL-E,Healthcare,Presentations,Asia,74422,2.17,43.1,1
2025,GitHub Copilot,Education,Data Analysis,Oceania,44566,3.28,10.6,4
2023,Adobe Firefly,Finance,Design,North America,125238,2.66,56.8,2
2023,Writesonic,Education,Design,South America,38924,3.4,17.3,3
2024,Beautiful.ai,Media,Meeting Notes,Oceania,87971,0.42,41.4,5
2025,Canva Magic Write,Finance,Coding,Europe,63993,4.72,40.8,1
2023,Cursor AI,E-commerce,Data Analysis,Oceania,129580,2.45,39.1,5
2021,Stable Diffusion,Software Development,Coding,Europe,44865,4.72,30.0,4
2021,ChatGPT,Media,Research,North America,90429,0.63,26.2,3
2022,DeepL Write,Design,Content Writing,North America,63319,4.27,9.3,2
2022,Perplexity AI,E-commerce,Research,Africa,64319,0.86,47.7,1
2021,Notion AI,E-commerce,Coding,Oceania,107488,3.26,58.0,2
2022,QuillBot,Finance,Data Analysis,South America,106385,1.63,18.1,3
2023,Cursor AI,Marketing,Presentations,Europe,100888,3.83,54.0,5
2023,Fireflies.ai,Media,Design,Asia,81372,2.05,52.3,5
2023,Descript,Education,Presentations,Europe,85519,1.9,61.1,3
2023,Cursor AI,Software Development,Presentations,North America,75469,3.83,51.0,4
2024,DALL-E,Finance,Design,Africa,114963,0.78,59.4,1
2021,Runway ML,Education,Research,Africa,121164,1.8,59.0,1
2022,Descript,Healthcare,Design,Europe,82630,2.13,8.6,1
2021,Durable AI,Software Development,Presentations,Oceania,91724,4.77,40.7,5
2024,QuillBot,Software Development,Data Analysis,North America,78095,3.27,33.6,4
2024,Tabnine,Software Development,Content Writing,Asia,51819,3.46,50.9,1
2023,Canva Magic Write,E-commerce,Content Writing,South America,45574,4.02,53.0,4
2025,Looka AI,Finance,Data Analysis,Africa,81632,0.57,39.3,5
2025,Gamma AI,Software Development,Image Generation,Oceania,55082,2.38,58.6,1
2023,Claude,Finance,Presentations,Oceania,57235,0.97,51.4,2
2022,Google Gemini,Marketing,Research,Oceania,72358,3.21,13.8,5
2025,Codeium,Finance,Research,Oceania,89348,0.64,54.8,4
2021,Stable Diffusion,E-commerce,Presentations,Oceania,66791,3.62,12.6,4
2023,Writesonic,Media,Data Analysis,Africa,38557,4.12,62.0,4
2021,ChatGPT,Marketing,Image Generation,Asia,39776,4.93,50.9,1
2022,Wordtune,Media,Research,Asia,60446,3.95,39.8,2
2021,Looka AI,Software Development,Data Analysis,Asia,75596,2.29,59.7,1
2025,ChatGPT,E-commerce,Meeting Notes,Europe,81429,0.35,34.7,2
2022,GitHub Copilot,Finance,Meeting Notes,Europe,51924,0.56,14.8,1
2023,GitHub Copilot,Finance,Content Writing,Europe,91681,3.81,41.3,5
2021,Phind,Media,Research,Europe,57183,4.82,29.4,5
2024,Otter.ai,E-commerce,Coding,North America,102704,1.35,62.9,2
2021,Beautiful.ai,E-commerce,Design,Asia,69963,0.36,63.3,4
2022,Jasper AI,Healthcare,Presentations,Asia,88722,0.65,39.6,5
2024,Codeium,Media,Coding,North America,82377,4.86,37.8,2
2025,GrammarlyGO,Education,Presentations,Europe,125534,2.44,43.8,4
2024,Canva Magic Write,Design,Coding,Africa,110778,3.05,59.4,1
2021,Looka AI,Education,Presentations,South America,147694,1.6,18.7,4
2022,QuillBot,Design,Design,South America,57751,2.48,28.1,1
2025,Durable AI,Software Development,Coding,Africa,59226,4.88,64.2,4
2025,Stable Diffusion,Healthcare,Data Analysis,Africa,86511,3.58,38.6,5
2024,Fireflies.ai,Education,Coding,Asia,110512,3.52,17.3,5
2021,Otter.ai,Marketing,Presentations,North America,64692,4.58,54.9,5
2023,Perplexity AI,E-commerce,Design,Asia,42393,4.68,57.4,4
2024,Notion AI,Healthcare,Content Writing,Africa,136943,0.51,9.5,2
2023,Midjourney,Software Development,Image Generation,Europe,117383,4.94,16.6,5
2021,QuillBot,Healthcare,Meeting Notes,North America,67924,3.09,29.7,2
2024,Claude,Marketing,Design,Oceania,78563,2.25,23.6,1
2023,Notion AI,Healthcare,Content Writing,Europe,119134,0.56,57.3,3
2025,Cursor AI,E-commerce,Research,Europe,82157,3.91,61.9,3
2023,Google Gemini,Software Development,Research,North America,83409,4.29,22.1,3
2023,Perplexity AI,Software Development,Content Writing,Oceania,49971,4.78,42.6,5
2024,Cursor AI,Marketing,Research,Oceania,77728,1.37,46.3,1
2025,Replit Ghostwriter,Finance,Design,North America,35976,0.83,46.3,1
2023,Notion AI,Healthcare,Presentations,North America,120330,2.75,52.0,4
2023,Pictory,Marketing,Research,Europe,117378,2.89,40.0,3
2024,Replit Ghostwriter,Finance,Content Writing,South America,84025,4.42,31.0,1
2024,Gamma AI,Finance,Image Generation,Europe,101361,3.61,20.1,3
2024,Otter.ai,Media,Data Analysis,Oceania,123058,0.94,8.8,1
2023,Phind,Healthcare,Presentations,Asia,113752,2.14,32.9,3
2024,GitHub Copilot,Design,Image Generation,Asia,29237,4.55,27.9,1
2025,Codeium,Education,Meeting Notes,South America,127070,2.16,43.5,1
2024,Notion AI,E-commerce,Data Analysis,North America,84222,4.35,62.1,1
2024,Beautiful.ai,E-commerce,Image Generation,Africa,30898,2.46,63.9,3
2022,DALL-E,E-commerce,Design,Africa,80333,2.62,26.7,2
2025,Gamma AI,Healthcare,Coding,Europe,42865,0.66,15.3,4
2025,Pictory,Design,Presentations,Europe,102090,0.9,16.7,2
2021,Descript,Software Development,Design,Europe,92997,1.15,27.7,3
2022,Copy.ai,Media,Data Analysis,Oceania,53803,4.51,35.0,3
2024,Otter.ai,Marketing,Coding,Oceania,52428,1.2,10.3,3
2021,Notion AI,Finance,Presentations,Europe,97121,1.09,23.9,4
2024,Looka AI,Education,Presentations,Europe,78789,1.27,28.8,5
2024,Copy.ai,Finance,Meeting Notes,Africa,50942,2.67,47.4,2
2024,Murf AI,E-commerce,Content Writing,North America,61008,4.41,60.5,2
2023,Canva Magic Write,Software Development,Research,North America,88419,0.59,23.8,4
2021,Gamma AI,Healthcare,Image Generation,Europe,100425,1.17,19.9,3
2023,Phind,Healthcare,Design,South America,104725,2.04,35.6,3
2023,Jasper AI,E-commerce,Meeting Notes,Europe,36544,2.47,50.6,1
2023,GrammarlyGO,E-commerce,Data Analysis,Africa,123006,0.47,22.4,3
2023,Notion AI,Healthcare,Design,Asia,99296,2.7,38.3,3
2024,Jasper AI,Media,Presentations,Oceania,91337,0.8,33.5,4
2023,DeepL Write,Finance,Image Generation,Europe,33806,1.57,29.5,4
2021,Codeium,Marketing,Data Analysis,Oceania,88103,0.39,26.4,3
2025,Midjourney,Software Development,Presentations,Oceania,62602,0.86,58.8,1
2023,Claude,Marketing,Presentations,Oceania,49553,3.09,46.7,2
2023,Beautiful.ai,Media,Presentations,Oceania,81760,0.71,38.6,5
2025,Writesonic,Marketing,Design,Europe,126398,3.06,50.5,1
2024,Beautiful.ai,Marketing,Presentations,South America,50882,1.63,28.7,3
2023,Jasper AI,Education,Image Generation,Europe,76289,3.34,40.5,5
2024,DeepL Write,Media,Image Generation,Oceania,40042,0.78,16.7,1
2023,Otter.ai,Software Development,Meeting Notes,Europe,98889,1.46,17.2,3
2022,Cursor AI,Healthcare,Presentations,Asia,64228,1.11,59.1,5
2021,Murf AI,Healthcare,Presentations,Asia,56080,0.68,37.9,3
2025,GrammarlyGO,Finance,Presentations,Europe,90113,0.83,30.7,3
2022,Midjourney,Healthcare,Coding,Africa,80492,4.86,57.3,5
2022,Canva Magic Write,E-commerce,Research,Oceania,64696,1.1,46.1,5
2023,Tome AI,Marketing,Design,Africa,104661,4.67,39.7,2
2021,Beautiful.ai,Media,Data Analysis,South America,31917,3.92,18.7,3
2023,Looka AI,Software Development,Data Analysis,North America,98300,1.82,32.2,2
2024,Synthesia,Software Development,Content Writing,North America,33173,0.84,42.8,1
2025,Adobe Firefly,Software Development,Meeting Notes,Asia,83442,1.66,41.1,5
2023,Durable AI,Education,Presentations,Europe,80017,2.8,11.0,4
2021,Synthesia,Software Development,Image Generation,Asia,45669,1.88,15.7,1
2023,Perplexity AI,Healthcare,Design,Europe,112188,1.5,46.8,1
2025,Beautiful.ai,Software Development,Coding,Oceania,64693,3.87,42.0,5
2025,Midjourney,Design,Data Analysis,South America,7850,1.94,61.0,4
2022,Beautiful.ai,Healthcare,Design,South America,58093,4.2,63.0,4
2025,Adobe Firefly,Education,Content Writing,Africa,93134,4.71,18.3,1
2022,Tome AI,Media,Data Analysis,North America,63880,0.61,50.2,5
2022,Murf AI,E-commerce,Presentations,Asia,117033,0.96,53.3,3
2024,Runway ML,Design,Content Writing,Oceania,89632,1.25,17.3,2
2022,Google Gemini,Education,Meeting Notes,Europe,93833,3.43,37.8,4
2025,QuillBot,Media,Meeting Notes,North America,69370,1.99,58.0,2
2025,Copy.ai,Media,Data Analysis,North America,118036,2.36,29.5,3
2025,Gamma AI,E-commerce,Image Generation,North America,69757,2.47,25.2,2
2023,QuillBot,E-commerce,Data Analysis,South America,82552,1.39,59.3,3
2024,Codeium,Healthcare,Meeting Notes,South America,132293,2.1,39.0,3
2023,Jasper AI,Software Development,Presentations,Oceania,89068,0.85,61.6,3
2021,Stable Diffusion,Healthcare,Data Analysis,South America,105125,3.25,27.1,4
2022,DALL-E,Education,Meeting Notes,North America,92154,3.21,38.4,2
2023,ChatGPT,Marketing,Research,Africa,69541,4.5,53.0,2
2022,Google Gemini,Education,Meeting Notes,South America,68219,1.47,50.4,2
2022,Cursor AI,E-commerce,Image Generation,Africa,56504,0.46,40.5,2
2025,Tome AI,Finance,Content Writing,Europe,96369,1.91,54.8,1
2025,Runway ML,Media,Research,Europe,92009,0.82,56.2,1
2025,Google Gemini,Design,Presentations,South America,73903,4.05,16.5,2
2021,Phind,Marketing,Coding,Africa,52637,1.38,49.2,4
2023,GrammarlyGO,Design,Design,Oceania,108088,3.56,38.9,2
2022,Copy.ai,Finance,Image Generation,Oceania,122669,1.48,27.7,3
2023,Codeium,Design,Design,South America,28638,2.47,62.0,5
2025,Murf AI,Finance,Image Generation,Europe,126881,1.02,41.4,3
2022,Gamma AI,Design,Meeting Notes,Oceania,155372,0.39,57.7,2
2022,Pictory,Marketing,Research,South America,85876,4.68,40.2,5
2023,Stable Diffusion,Design,Presentations,South America,96430,3.62,16.7,5
2024,Wordtune,Media,Data Analysis,Europe,88716,3.01,42.6,5
2022,Stable Diffusion,Design,Presentations,North America,129795,4.69,60.8,3
2021,Cursor AI,Design,Content Writing,Africa,66663,2.42,14.5,5
2024,Murf AI,Marketing,Content Writing,South America,83671,3.08,30.7,5
2023,Tabnine,Software Development,Content Writing,Oceania,114825,0.56,27.1,3
2024,DALL-E,Media,Design,Africa,51636,2.83,60.4,4
2021,Copy.ai,Design,Design,Oceania,32354,1.93,27.8,2
2022,Midjourney,Software Development,Data Analysis,South America,71926,1.36,33.8,1
2023,Replit Ghostwriter,Design,Data Analysis,Africa,132070,0.96,18.1,4
2024,Gamma AI,Education,Data Analysis,Europe,2906,4.6,28.7,2
2022,Jasper AI,Healthcare,Meeting Notes,North America,80371,3.03,44.0,3
2022,Tome AI,Media,Coding,Asia,73933,0.7,64.8,2
2024,Tabnine,Media,Content Writing,North America,48804,2.66,41.9,3
2023,Tome AI,Marketing,Meeting Notes,Africa,82417,1.29,59.2,5
2023,Wordtune,Design,Coding,Europe,81276,1.26,18.9,4
2024,Wordtune,Marketing,Presentations,Asia,81017,2.95,11.7,1
2022,Runway ML,E-commerce,Research,Oceania,65697,3.94,33.8,1
2021,Phind,Education,Meeting Notes,Asia,2470,2.18,39.9,5
2025,Canva Magic Write,Education,Presentations,Asia,114745,1.03,18.4,4
2022,Pictory,Education,Research,Africa,39774,3.33,31.3,1
2024,GrammarlyGO,Healthcare,Coding,Asia,58665,0.42,16.9,4
2024,Claude,Finance,Design,Asia,110070,0.43,20.7,5
2022,Gamma AI,E-commerce,Design,Asia,120146,1.39,46.3,2
2023,ChatGPT,Finance,Coding,North America,66264,3.37,21.6,1
2024,Tome AI,Education,Image Generation,Asia,96681,0.77,21.9,3
2025,Copy.ai,E-commerce,Coding,South America,103328,4.2,30.6,4
2021,Wordtune,Media,Design,Europe,95327,3.44,19.7,1
2024,Wordtune,Education,Meeting Notes,South America,99793,0.36,12.9,3
2025,Replit Ghostwriter,Marketing,Meeting Notes,North America,72713,1.28,9.5,1
2023,Midjourney,Finance,Presentations,Asia,91783,2.28,58.9,5
2021,Adobe Firefly,Design,Meeting Notes,Europe,44466,4.14,27.5,5
2022,Midjourney,Finance,Meeting Notes,Africa,60869,3.07,23.3,3
2023,QuillBot,Finance,Data Analysis,North America,39746,3.23,31.3,5
2023,QuillBot,Marketing,Research,Africa,19542,1.68,62.1,1
2023,Wordtune,Marketing,Image Generation,Asia,132893,3.89,16.0,2
2024,Jasper AI,E-commerce,Content Writing,Europe,80870,4.5,53.6,3
2021,Writesonic,Marketing,Data Analysis,Oceania,115099,2.3,9.3,3
2024,GitHub Copilot,Education,Research,South America,91234,3.28,22.7,1
2022,Synthesia,Design,Meeting Notes,Europe,30694,0.95,55.6,3
2021,Jasper AI,Education,Presentations,South America,82553,1.11,23.5,5
2021,QuillBot,Finance,Meeting Notes,Asia,92427,0.39,60.1,2
2025,Jasper AI,Education,Presentations,Africa,87875,1.59,39.6,1
2025,Google Gemini,Software Development,Meeting Notes,Oceania,52648,3.36,55.3,4
2025,ChatGPT,Finance,Meeting Notes,Oceania,89680,3.12,45.9,2
2025,Adobe Firefly,Software Development,Image Generation,Africa,111480,1.12,60.1,5
2021,GitHub Copilot,Finance,Image Generation,Asia,26773,2.74,10.7,1
2025,Google Gemini,Finance,Meeting Notes,Europe,43612,1.08,50.1,2
2023,Gamma AI,Education,Content Writing,South America,87603,1.45,30.2,4
2022,Perplexity AI,Media,Coding,Africa,59338,1.66,28.3,5
2021,Fireflies.ai,Media,Design,Africa,52723,2.96,35.1,2
2025,DALL-E,E-commerce,Image Generation,South America,113609,3.42,61.4,1
2025,Looka AI,Media,Design,Asia,56249,0.45,22.9,3
2024,Cursor AI,Healthcare,Meeting Notes,Oceania,103009,3.1,10.9,1
2023,Copy.ai,Marketing,Meeting Notes,North America,158802,1.87,51.9,5
2025,Codeium,Media,Content Writing,Oceania,79118,0.8,12.3,1
